Owner1,Owner2,SiteAddress,MailAddress,MailCity,APN,LastSeller,LastSaleDate,LastSaleValue,clean_owner,ppp_borrower,ppp_city,ppp_state,ppp_amount,ppp_forgiven,ppp_date,ppp_status,BusinessType,NAICSCode,NonProfit,JobsReported,lender,proximity_cluster,rico_risk_tier
TRK LLC,,7924 STARK DR,3316 LONDON ST,LOS ANGELES,142-083-09,"THE BAGSTAD GROUP THREE LP,",12/06/2016,5250000.0,TRKLLC,"TRK, LLC",SALT LAKE CITY,UT,175700.0,178313.84,04/10/2020,Paid in Full,Limited  Liability Company(LLC),541512,,9.0,America First FCU,,TIER_4_MONITOR
S & S 1 LLC,,9514 BICKLEY DR # 8,1733 MONROVIA AVE STE V,COSTA MESA,931-930-16,"BABLOT, STEVEN R; BABLOT, SUSAN V",01/17/1996,0.0,SS1LLC,"SS1, LLC",AVON LAKE,OH,20000.0,20187.83,08/03/2020,Paid in Full,Limited  Liability Company(LLC),511210,,1.0,"JPMorgan Chase Bank, National Association",,TIER_4_MONITOR
WFS PROPERTIES LLC,,212 15TH ST,595 W LAMBERT RD STE 108,BREA,024-031-15,"MACFARLANE, JERRY; BROWN, TODD",07/16/2024,3850000.0,WFSPROPERTIESLLC,WFS PROPERTIES LLC,BREA,CA,54417.0,54911.97,05/01/2020,Paid in Full,Limited  Liability Company(LLC),531120,,4.0,"Bank of America, National Association",,TIER_4_MONITOR
POINTFAR AUTOMATION LLC,,16655 PACIFIC COAST HWY,18710 VINTAGE ST,NORTHRIDGE,178-523-09,"VISION DEVELOPMENT LLC,",03/10/2026,1400000.0,POINTFARAUTOMATIONLLC,POINTFAR AUTOMATION LLC,Santa Clarita,CA,2865.0,2875.36,05/13/2021,Paid in Full,Limited  Liability Company(LLC),541330,,2.0,Customers Bank,,TIER_4_MONITOR
POINTFAR AUTOMATION LLC,,16655 PACIFIC COAST HWY,18710 VINTAGE ST,NORTHRIDGE,178-523-09,"VISION DEVELOPMENT LLC,",03/10/2026,1400000.0,POINTFARAUTOMATIONLLC,POINTFAR AUTOMATION LLC,NEW HALL,CA,8500.0,8556.59,04/30/2020,Paid in Full,Limited  Liability Company(LLC),541618,,2.0,"U.S. Bank, National Association",,TIER_4_MONITOR
LOS ALAMOS LLC,,17101 ASH LN,1100 DENNIS DR,COSTA MESA,165-362-17,"AYYOUB, EMAD H; AYYOUB, ENTESSAR",01/12/2016,2200000.0,LOSALAMOSLLC,LOS ALAMOS LLC,Uvalde,TX,64600.0,64923.88,02/22/2021,Paid in Full,Limited  Liability Company(LLC),722513,,5.0,First State Bank of Uvalde,,TIER_4_MONITOR
DRIVE LLC,,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,",",,,DRIVELLC,DRIVE LLC,Hubbard,OH,22557.0,22694.85,03/12/2021,Paid in Full,Subchapter S Corporation,511120,,3.0,"PNC Bank, National Association",,TIER_4_MONITOR
DRIVE LLC,,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,",",,,DRIVELLC,DRIVE LLC,HUBBARD,OH,21600.0,21787.2,05/01/2020,Paid in Full,Subchapter S Corporation,561990,,3.0,"PNC Bank, National Association",,TIER_4_MONITOR
DRIVE LLC,,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,",",,,DRIVELLC,DRIVE LLC,NIXA,MO,26200.0,26370.84,04/06/2020,Paid in Full,Limited  Liability Company(LLC),484121,,5.0,The Bank of Missouri,,TIER_4_MONITOR
JBH LLC,,711 W 17TH ST # 19,18331 E SANTA CLARA AVE,NORTH TUSTIN,939-830-19,"B L FUND I PARTNERS A GENERAL PARTNERSHI,",03/16/2000,0.0,JBHLLC,JBH LLC,Falls Church,VA,20800.0,21090.62,05/19/2020,Paid in Full,Limited  Liability Company(LLC),531210,,1.0,Atlantic Union Bank,,TIER_4_MONITOR
JBH LLC,,711 W 17TH ST # 19,18331 E SANTA CLARA AVE,NORTH TUSTIN,939-830-19,"B L FUND I PARTNERS A GENERAL PARTNERSHI,",03/16/2000,0.0,JBHLLC,JBH LLC,DALTON,PA,28067.0,28378.86,04/29/2020,Paid in Full,Sole Proprietorship,722511,,8.0,The Honesdale National Bank,,TIER_4_MONITOR
JBH LLC,,711 W 17TH ST # 19,18331 E SANTA CLARA AVE,NORTH TUSTIN,939-830-19,"B L FUND I PARTNERS A GENERAL PARTNERSHI,",03/16/2000,0.0,JBHLLC,JBH LLC,PHOENIX,AZ,20607.0,20816.46,04/27/2020,Paid in Full,Limited  Liability Company(LLC),722513,,5.0,Loan Source Incorporated,,TIER_4_MONITOR
KL INDUSTRIES LLC,,711 W 17TH ST # 18,711 W 17TH ST STE B7,COSTA MESA,939-830-18,"POBANZ, YUMIKO",10/11/1995,0.0,KLINDUSTRIESLLC,"K & L INDUSTRIES, LLC",ZWINGLE,IA,6700.0,6751.92,04/27/2020,Paid in Full,Limited  Liability Company(LLC),811111,,1.0,Dupaco Community CU,,TIER_4_MONITOR
WILDCAT PROPERTIES LLC,,200 PACIFIC COAST HWY UNIT 345,4800 COLLEGE BLVD STE 204,FARMINGTON,939-506-09,"AURORA LOAN SERVICES LLC,",07/02/2010,600000.0,WILDCATPROPERTIESLLC,WILDCAT PROPERTIES LLC,Greenfield Center,NY,4000.0,4040.44,06/03/2020,Paid in Full,Limited  Liability Company(LLC),532289,,1.0,WebBank,,TIER_4_MONITOR
ARABELLA LLC,,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,"SHINDY, WALEED; SHINDY, TAMMY",11/17/1997,0.0,ARABELLALLC,"ARABELLA, LLC",PIQUA,OH,5832.5,5892.42,04/10/2020,Paid in Full,Limited  Liability Company(LLC),812112,,1.0,Minster Bank,,TIER_4_MONITOR
ARABELLA LLC,,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,"SHINDY, WALEED; SHINDY, TAMMY",11/17/1997,0.0,ARABELLALLC,"ARABELLA, LLC",WINTER PARK,FL,12100.0,12287.21,05/01/2020,Paid in Full,Limited  Liability Company(LLC),448120,,3.0,Fifth Third Bank,,TIER_4_MONITOR
ARABELLA LLC,,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,"SHINDY, WALEED; SHINDY, TAMMY",11/17/1997,0.0,ARABELLALLC,"ARABELLA, LLC",Glen Arbor,MI,3379.0,3400.11,04/27/2020,Paid in Full,Limited  Liability Company(LLC),453220,,1.0,Honor Bank,,TIER_4_MONITOR
ARABELLA LLC,,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,"SHINDY, WALEED; SHINDY, TAMMY",11/17/1997,0.0,ARABELLALLC,ARABELLA LLC,Skaneateles,NY,5830.84,5884.04,02/19/2021,Paid in Full,Limited  Liability Company(LLC),812112,,1.0,"Square Capital, LLC",,TIER_4_MONITOR
ARABELLA LLC,,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,"SHINDY, WALEED; SHINDY, TAMMY",11/17/1997,0.0,ARABELLALLC,ARABELLA LLC,Glen Arbor,MI,3379.0,3411.85,01/19/2021,Paid in Full,Limited  Liability Company(LLC),453220,,1.0,Honor Bank,,TIER_4_MONITOR
ARABELLA LLC,,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,"SHINDY, WALEED; SHINDY, TAMMY",11/17/1997,0.0,ARABELLALLC,ARABELLA LLC,Skaneateles,NY,4303.16,4329.8,05/01/2020,Paid in Full,Limited  Liability Company(LLC),812112,,1.0,"Square Capital, LLC",,TIER_4_MONITOR
ARABELLA LLC,,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,"SHINDY, WALEED; SHINDY, TAMMY",11/17/1997,0.0,ARABELLALLC,ARABELLA  LLC,Winter Park,FL,12100.0,12192.43,02/17/2021,Paid in Full,Limited  Liability Company(LLC),448120,,3.0,Fifth Third Bank,,TIER_4_MONITOR
KC GROUP LLC,,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,"GARCIA, ANGEL; GARCIA FAMILY TRUST,",11/16/2022,820000.0,KCGROUPLLC,KC GROUP LLC,Hammonton,NJ,4140.0,4164.84,04/02/2021,Paid in Full,Limited  Liability Company(LLC),541410,,1.0,"Capital Plus Financial, LLC",,TIER_4_MONITOR
KC GROUP LLC,,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,"GARCIA, ANGEL; GARCIA FAMILY TRUST,",11/16/2022,820000.0,KCGROUPLLC,K.C. GROUP LLC,Grayling,MI,33750.0,34084.73,04/27/2020,Paid in Full,Limited  Liability Company(LLC),713910,,11.0,The Huntington National Bank,,TIER_4_MONITOR
KC GROUP LLC,,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,"GARCIA, ANGEL; GARCIA FAMILY TRUST,",11/16/2022,820000.0,KCGROUPLLC,"K & C GROUP, LLC",Federal Way,WA,17300.0,17481.65,04/30/2020,Paid in Full,Limited  Liability Company(LLC),812113,,11.0,Red Canoe CU,,TIER_4_MONITOR
KC GROUP LLC,,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,"GARCIA, ANGEL; GARCIA FAMILY TRUST,",11/16/2022,820000.0,KCGROUPLLC,K & C GROUP LLC.,Omaha,NE,11777.0,11904.58,04/15/2020,Paid in Full,Corporation,454110,,2.0,WebBank,,TIER_4_MONITOR
AIMS LLC,,16091 BEACH BLVD,15142 SOBEY RD,SARATOGA,142-082-35,"PACIFICLEWIS PROPERTIES,",01/18/2017,4600000.0,AIMSLLC,AIMS LLC,SPRINGFIELD,MO,41250.0,41586.88,04/29/2020,Paid in Full,Subchapter S Corporation,511120,,5.0,Great Southern Bank,,TIER_4_MONITOR
AIMS LLC,,16091 BEACH BLVD,15142 SOBEY RD,SARATOGA,142-082-35,"PACIFICLEWIS PROPERTIES,",01/18/2017,4600000.0,AIMSLLC,"AIMS, LLC",MISHAWAKA,IN,585527.0,593416.98,05/01/2020,Paid in Full,Limited  Liability Company(LLC),621399,,32.0,"JPMorgan Chase Bank, National Association",,TIER_2_HIGH
NEWPORT LLC,,4340 VON KARMAN AVE STE 205,640 N DIAMOND BAR BLVD,DIAMOND BAR,934-057-17,",",,,NEWPORTLLC,NEW PORT LLC,ROLLING MEADOWS,IL,20000.0,20097.22,04/10/2020,Paid in Full,Limited  Liability Company(LLC),523999,,9.0,East West Bank,,TIER_4_MONITOR
NEWPORT LLC,,4340 VON KARMAN AVE STE 205,640 N DIAMOND BAR BLVD,DIAMOND BAR,934-057-17,",",,,NEWPORTLLC,NEWPORT LLC,SAN FRANCISCO,CA,536590.0,540721.01,04/13/2020,Paid in Full,Limited  Liability Company(LLC),611710,,52.0,Synovus Bank,,TIER_2_HIGH
J3 HOLDINGS LLC,,12555 EUCLID ST APT 51,340 E 1ST ST UNIT 1590,TUSTIN,930-536-37,"NGUYEN, TWEETY",07/31/2012,115000.0,J3HOLDINGSLLC,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,04/14/2020,Paid in Full,Limited  Liability Company(LLC),531311,,9.0,First Western Bank & Trust,,TIER_4_MONITOR
JS PROPERTIES LLC,,121 MAIN ST,4475 MISSION BLVD STE 226,SAN DIEGO,024-153-17,"SHAW, JACOB C; SHAW, CLAUDIA M",03/22/2024,0.0,JSPROPERTIESLLC,J & S  PROPERTIES LLC,Chouteau,OK,19740.0,19946.72,01/17/2021,Paid in Full,Limited  Liability Company(LLC),332710,,2.0,First Bank,,TIER_4_MONITOR
JS PROPERTIES LLC,,121 MAIN ST,4475 MISSION BLVD STE 226,SAN DIEGO,024-153-17,"SHAW, JACOB C; SHAW, CLAUDIA M",03/22/2024,0.0,JSPROPERTIESLLC,JS PROPERTIES LLC,Dix Hills,NY,17575.0,17757.97,06/23/2020,Paid in Full,Sole Proprietorship,541990,,1.0,Celtic Bank Corporation,,TIER_4_MONITOR
J3 HOLDINGS LLC,,10371 GARDEN GROVE BLVD APT 32,340 E 1ST ST UNIT 1590,TUSTIN,930-538-25,"KRULL VENTURE PARTNERS LLC,",06/07/2013,0.0,J3HOLDINGSLLC,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,04/14/2020,Paid in Full,Limited  Liability Company(LLC),531311,,9.0,First Western Bank & Trust,,TIER_4_MONITOR
J3 HOLDINGS LLC,,12422 WOODBRIDGE DR,340 E 1ST ST UNIT 1590,TUSTIN,935-722-32,"KRULL VENTURE PARTNERS LLC,",01/11/2013,0.0,J3HOLDINGSLLC,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,04/14/2020,Paid in Full,Limited  Liability Company(LLC),531311,,9.0,First Western Bank & Trust,,TIER_4_MONITOR
DLC ENTERPRISES LLC,,17392 QUEENS LN,2650 ELM AVE STE 218,LONG BEACH,165-233-04,"ELKHOURY, GEORGE F; ELKHOURY, REBECCA L",12/02/2016,1125000.0,DLCENTERPRISESLLC,DLC ENTERPRISES LLC,Lincoln,RI,16042.0,16147.16,01/20/2021,Paid in Full,Limited  Liability Company(LLC),423110,,1.0,Navigant CU,,TIER_4_MONITOR
DLC ENTERPRISES LLC,,17392 QUEENS LN,2650 ELM AVE STE 218,LONG BEACH,165-233-04,"ELKHOURY, GEORGE F; ELKHOURY, REBECCA L",12/02/2016,1125000.0,DLCENTERPRISESLLC,"DLC ENTERPRISES, LLC",Ashburn,VA,55000.0,55575.97,01/28/2021,Paid in Full,Limited  Liability Company(LLC),541519,,4.0,Fountainhead SBF LLC,,TIER_4_MONITOR
DLC ENTERPRISES LLC,,17392 QUEENS LN,2650 ELM AVE STE 218,LONG BEACH,165-233-04,"ELKHOURY, GEORGE F; ELKHOURY, REBECCA L",12/02/2016,1125000.0,DLCENTERPRISESLLC,"DLC ENTERPRISES, LLC",ASHBURN,VA,29114.0,29585.49,06/18/2020,Paid in Full,Limited  Liability Company(LLC),624120,,19.0,Fountainhead SBF LLC,,TIER_4_MONITOR
POS LLC,,227 2ND ST,328 DIAGONAL RD,EL DORADO,024-165-23,"LIBRODO, GERARD F",03/29/2007,0.0,POSLLC,"POS, LLC",EDMOND,OK,18200.0,18332.96,04/04/2020,Paid in Full,Limited  Liability Company(LLC),621320,,2.0,First National Bank of Oklahoma,,TIER_4_MONITOR
INSIGHT PROPERTIES LLC,,3151 AIRWAY AVE STE M3,3151 AIRWAY AVE STE J2,COSTA MESA,938-940-68,",",09/28/2005,,INSIGHTPROPERTIESLLC,INSIGHT PROPERTIES LLC,SAINT CHARLES,MO,14500.0,14622.44,04/28/2020,Paid in Full,Limited  Liability Company(LLC),531210,,2.0,"First Mid Bank & Trust, National Association",,TIER_4_MONITOR
INSIGHT PROPERTIES LLC,,3151 AIRWAY AVE STE M3,3151 AIRWAY AVE STE J2,COSTA MESA,938-940-68,",",09/28/2005,,INSIGHTPROPERTIESLLC,INSIGHT PROPERTIES LLC,Saint Charles,MO,14546.0,14629.24,03/03/2021,Paid in Full,Limited  Liability Company(LLC),531390,,2.0,"First Mid Bank & Trust, National Association",,TIER_4_MONITOR
INSIGHT PROPERTIES LLC,,3151 AIRWAY AVE STE M3,3151 AIRWAY AVE STE J2,COSTA MESA,938-940-68,",",09/28/2005,,INSIGHTPROPERTIESLLC,INSIGHT PROPERTIES LLC,Happy Valley,OR,20833.0,20910.55,04/07/2021,Paid in Full,Limited  Liability Company(LLC),236117,,1.0,Itria Ventures LLC,,TIER_4_MONITOR
FIRST HIGHLAND LLC,,8171 COBBLESTONE LN # 4,9631 BOLSA AVE,WESTMINSTER,938-270-26,"NGUYEN, JOHN",10/17/2012,0.0,FIRSTHIGHLANDLLC,FIRST HIGHLAND LLC,Windermere,FL,205800.0,207040.44,01/30/2021,Paid in Full,Limited  Liability Company(LLC),812199,,25.0,United Community Bank,,TIER_4_MONITOR
FIRST HIGHLAND LLC,,8171 COBBLESTONE LN # 4,9631 BOLSA AVE,WESTMINSTER,938-270-26,"NGUYEN, JOHN",10/17/2012,0.0,FIRSTHIGHLANDLLC,"FIRST HIGHLAND, LLC",ORLANDO,FL,205811.48,207311.37,04/29/2020,Paid in Full,Limited  Liability Company(LLC),621399,,25.0,United Community Bank,,TIER_4_MONITOR
SEA AIRE APARTMENTS LLC,,729 UTICA AVE,1180 S BEVERLY DR STE 301,LOS ANGELES,025-191-28,", ASSOCIATES NINE",02/18/1998,1950000.0,SEAAIREAPARTMENTSLLC,SEA AIRE APARTMENTS LLC,LOS ANGELES,CA,9950.0,10060.28,06/01/2020,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,First Bank,,TIER_4_MONITOR
EVERSTONE CAPITAL LLC,,280 CAGNEY LN APT 116,268 AMBROISE,NEWPORT COAST,930-775-74,"PREECE, THOMAS R; THOMAS PREECE LIVING TRUST,",03/07/2025,900000.0,EVERSTONECAPITALLLC,EVERSTONE CAPITAL LLC,NEW YORK,NY,146499.0,,05/19/2020,Paid in Full,Limited  Liability Company(LLC),812990,,5.0,"PNC Bank, National Association",,TIER_4_MONITOR
SEA AIRE APARTMENTS LLC,,733 UTICA AVE,1180 S BEVERLY DR STE 301,LOS ANGELES,025-191-31,",",01/22/2003,,SEAAIREAPARTMENTSLLC,SEA AIRE APARTMENTS LLC,LOS ANGELES,CA,9950.0,10060.28,06/01/2020,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,First Bank,,TIER_4_MONITOR
SEA AIRE APARTMENTS LLC,,725 UTICA AVE,1180 S BEVERLY DR STE 301,LOS ANGELES,025-191-29,"WEB SERVICE CO INC,",01/22/2003,0.0,SEAAIREAPARTMENTSLLC,SEA AIRE APARTMENTS LLC,LOS ANGELES,CA,9950.0,10060.28,06/01/2020,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,First Bank,,TIER_4_MONITOR
POSEIDON ENTERPRISES LLC,,16891 CORAL CAY LN,14269 FERN AVE,CHINO,178-653-19,"THE FULCRUM GROUP,",02/17/2005,0.0,POSEIDONENTERPRISESLLC,POSEIDON ENTERPRISES LLC,Hillsborough,NJ,6070.0,6109.99,03/17/2021,Paid in Full,Limited  Liability Company(LLC),561790,,1.0,"JPMorgan Chase Bank, National Association",,TIER_4_MONITOR
A & D LLC,,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,ADLLC,AD LLC,scarsdale,NY,20800.0,21099.29,05/01/2020,Paid in Full,Limited  Liability Company(LLC),,,2.0,"Citibank, N.A.",,TIER_4_MONITOR
A & D LLC,,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,ADLLC,A&D LLC,TONGANOXIE,KS,3500.0,3524.6,06/30/2020,Paid in Full,Limited  Liability Company(LLC),447110,,2.0,First State Bank and Trust,,TIER_4_MONITOR
A & D LLC,,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,ADLLC,A & D LLC,Asheville,NC,67912.0,68228.3,02/23/2021,Paid in Full,Corporation,448190,,14.0,HomeTrust Bank,,TIER_4_MONITOR
A & D LLC,,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,ADLLC,"A&D, LLC",Asheville,NC,67912.5,68520.92,04/09/2020,Paid in Full,Corporation,448140,,2.0,HomeTrust Bank,,TIER_4_MONITOR
A & D LLC,,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,ADLLC,"A & D, LLC",PHOENIX,AZ,32715.0,33060.54,05/08/2020,Paid in Full,Limited  Liability Company(LLC),311520,,6.0,"JPMorgan Chase Bank, National Association",,TIER_4_MONITOR
A & D LLC,,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,ADLLC,A & D LLC,Phoenix,AZ,55324.47,55607.24,02/19/2021,Paid in Full,Limited  Liability Company(LLC),311520,,10.0,First Fidelity Bank,,TIER_4_MONITOR
SUBURBAN PROPERTIES LLC,,9679 ELLIS AVE,10529 SLATER AVE,FOUNTAIN VALLEY,157-054-58,"VILAGUT, GEORGE",06/15/2015,0.0,SUBURBANPROPERTIESLLC,SUBURBAN PROPERTIES LLC,Batavia,IL,26047.0,26161.32,02/03/2021,Paid in Full,Limited  Liability Company(LLC),488190,,2.0,"Resource Bank, National Association",,TIER_4_MONITOR
SUBURBAN PROPERTIES LLC,,9679 ELLIS AVE,10529 SLATER AVE,FOUNTAIN VALLEY,157-054-58,"VILAGUT, GEORGE",06/15/2015,0.0,SUBURBANPROPERTIESLLC,"SUBURBAN PROPERTIES, LLC",SUGAR GROVE,IL,24500.0,24638.15,04/10/2020,Paid in Full,Limited  Liability Company(LLC),488190,,2.0,"Resource Bank, National Association",,TIER_4_MONITOR
PACIFIC METALS GROUP LLC,,829 HARBOR ISLAND DR,224 GLIDER CIR,CORONA,988-009-52,",",,,PACIFICMETALSGROUPLLC,"PACIFIC METALS GROUP, LLC",Ontario,CA,381536.7,385634.3,01/30/2021,Paid in Full,Limited  Liability Company(LLC),336413,,35.0,American Business Bank,,TIER_4_MONITOR
PACIFIC METALS GROUP LLC,,829 HARBOR ISLAND DR,224 GLIDER CIR,CORONA,988-009-52,",",,,PACIFICMETALSGROUPLLC,"PACIFIC METALS GROUP, LLC",ONTARIO,CA,364400.0,368313.56,04/14/2020,Paid in Full,Limited  Liability Company(LLC),332322,,36.0,American Business Bank,,TIER_4_MONITOR
HAN LLC,,6262 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-09,"THE PAUL SULAHIAN REVOCABLE LIVING TRUST, ; SINANIAN, LARA",03/17/2026,900000.0,HANLLC,HAN LLC,Leavenworth,KS,12869.0,12948.72,02/03/2021,Paid in Full,Limited  Liability Company(LLC),722511,,5.0,Country Club Bank,,TIER_4_MONITOR
HAN LLC,,6262 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-09,"THE PAUL SULAHIAN REVOCABLE LIVING TRUST, ; SINANIAN, LARA",03/17/2026,900000.0,HANLLC,HAN LLC,LEAVENWORTH,KS,7900.0,7952.45,05/01/2020,Paid in Full,Limited  Liability Company(LLC),722511,,2.0,Country Club Bank,,TIER_4_MONITOR
HAN LLC,,6262 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-09,"THE PAUL SULAHIAN REVOCABLE LIVING TRUST, ; SINANIAN, LARA",03/17/2026,900000.0,HANLLC,HAN LLC,FREEPORT,ME,32900.0,33001.85,07/10/2020,Paid in Full,Limited  Liability Company(LLC),722513,,7.0,Bath Savings Institution,,TIER_4_MONITOR
HAN LLC,,6272 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-10,"THE PAUL SULAHIAN REVOCABLE LIVING TRUST, ; SINANIAN, LARA",03/17/2026,900000.0,HANLLC,HAN LLC,Leavenworth,KS,12869.0,12948.72,02/03/2021,Paid in Full,Limited  Liability Company(LLC),722511,,5.0,Country Club Bank,,TIER_4_MONITOR
