ENTITY_ID,ENTITY_TYPE,ENTITY_NAME,PRIMARY_TAB,RELATED_IDS,LAST_UPDATED,SOURCE_DOC,NOTES,STATUS,PUBLIC_EVIDENCE,NON_PUBLIC_EVIDENCE
TL-015,TIMELINE,August 21 2020 Fraudulent Environmental Closure,Timeline,GOV-001;GOV-008;ADDR-002;EV-001,2026-05-22T00:00:00+00:00,OSINT Investigation & Maltego,OCHCA issues illegal Case Closed certificate (20IC002) certifying environmental safety despite 1947 well and Cr-VI plume,,,
TL-016,TIMELINE,2020 LMIHAF Excess Surplus Crisis,Timeline,GOV-001;GOV-009;RICO-003,2026-05-22T00:00:00+00:00,OSINT Investigation & Maltego,City calculates imminent excess surplus of $3+ million; funds at risk of state forfeiture,,,
TL-017,TIMELINE,2021 Age Discrimination Settlement,Timeline,PER-008;GOV-001,2026-05-22T00:00:00+00:00,HB Navigation Center Investigation,City pays $2.5 million settlement following age discrimination lawsuit under Michael Gates supervision,,,
TL-018,TIMELINE,2023 TPH Soil Sample,Timeline,ADDR-002;TOX-004,2026-05-20T00:00:00+00:00,Environmental Assessment,Total Petroleum Hydrocarbons detected at elevated levels at 17642 Beach Blvd,,,
TL-019,TIMELINE,2023 Lead Soil Sample,Timeline,ADDR-002;TOX-005,2026-05-20T00:00:00+00:00,Environmental Assessment,Lead levels exceed 80 mg/kg neurotoxic threshold at 17642 Beach Blvd,,,
TL-020,TIMELINE,June 9 2025 Andrew Do Sentencing,Timeline,PER-004;LEG-001;RICO-001,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,"Andrew Do sentenced to 5 years FCI Lompoc; restitution petition granted March 9, 2026; total: $8,849,511.80",,,
TL-021,TIMELINE,August 11 2025 Restitution Order Issued,Timeline,PER-004;PER-020;LEG-001,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,"Judge Selna orders $8,849,511.80 restitution; first $250k installment due Sept 10, 2025; Do transfers home (~$2.2M) to wife Cheri Pham day after",,,
TL-022,TIMELINE,June 6 2025 Peter Pham Indicted,Timeline,PER-010;LEG-002;RICO-003,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,"Peter Pham indicted on 15 federal counts (bribery, money laundering, COVID-19 relief fraud)",,,
TL-023,TIMELINE,December 24 2024 Peter Pham Flees to Taiwan,Timeline,PER-010;LEG-002,2026-05-22T00:00:00+00:00,Ironman RICO Matrix,Peter Pham departs U.S. on one-way ticket to Taipei; no extradition treaty exists,,,
TL-024,TIMELINE,November 24 2025 Jared Wheat Conviction,Timeline,PER-018;LEG-005;LEG-006,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,Jared Wheat found guilty on wire fraud and money laundering charges; $4.7M scheme; third federal felony; sentencing TBD,,,
TL-025,TIMELINE,October 17 2025 Prop 65 Notice Hi-Tech Pharmaceuticals,Timeline,PER-018;LEG-003,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,California AG files Prop 65 Notice for lead compounds in supplements; 60-day window expired; private enforcement action ripe,,,
TL-026,TIMELINE,April 8 2025 Restroom RFP Release,Timeline,GOV-001;ADDR-002,2026-05-20T00:00:00+00:00,HB Navigation Center Investigation,City releases Request for Proposal for replacement of hygiene facilities at Navigation Center,,,
TL-027,TIMELINE,May 5 2025 Mandatory Pre-Bid Meeting,Timeline,GOV-001;ADDR-002,2026-05-20T00:00:00+00:00,HB Navigation Center Investigation,Pre-bid meeting held for Navigation Center restroom project with construction firms in attendance,,,
TL-028,TIMELINE,February 1 2026 Nancy Guthrie Disappearance,Timeline,PER-032;GOV-013,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,Nancy Guthrie (mother of NBC Today anchor Savannah Guthrie) disappears from Tucson Arizona,,,
TL-029,TIMELINE,February 2026 Anthony DiMarcello Deterioration Documentation,Timeline,ADDR-002;GOV-001,2026-05-20T00:00:00+00:00,HB Navigation Center Investigation,Internal correspondence documents extreme physical and emotional deterioration of HBNC resident,,,
TL-030,TIMELINE,March 2026 Michael Gates Returns to HB City Attorney,Timeline,PER-008;GOV-001,2026-05-20T00:00:00+00:00,HB Navigation Center Investigation,Michael Gates returns to Huntington Beach City Attorney role after DOJ tenure,,,
TL-031,TIMELINE,March 25 2026 Knabb v HB FAC Filed,Timeline,PER-001;PER-002;GOV-001;LEG-001,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,First Amended Complaint filed in Knabb v. City of Huntington Beach (8:26-cv-00348-JWH-ADS CDCA),,,
TL-032,TIMELINE,March 31 2026 Knabb IFP Granted,Timeline,PER-001;GOV-001,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,In Forma Pauperis (IFP) status granted for Robert Knabb; case proceeds without court fees,,,
TL-033,TIMELINE,April 23 2026 Mercy House Service,Timeline,NP-008;GOV-001;LEG-001,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,Mercy House Living Centers served via summons in Knabb v. HB; 21-day response window (~May 14 deadline),,,
TL-034,TIMELINE,April 30 2026 Documentary Evidence Filed,Timeline,PER-001;EV-015,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,"Exhibits A-R filed; Notice of Documentary Evidence Obtained After FAC Filing; USM Service Request (19 pages, Dkt. 26)",,,
TL-035,TIMELINE,2024 Cr-VI Soil Sample,Timeline,ADDR-002;TOX-001;EV-001,2026-05-20T00:00:00+00:00,Environmental Assessment,Hexavalent Chromium soil sample at HBNC reveals 490 ppb concentration (49x EPA limit MCL 10 ppb),,,
TL-036,TIMELINE,2024 Cr-VI Air Sample,Timeline,ADDR-002;TOX-002,2026-05-20T00:00:00+00:00,Environmental Assessment,Airborne Hexavalent Chromium detected above OEHHA action level at HBNC site,,,
TL-037,TIMELINE,2024 Cr-VI Groundwater Sample,Timeline,ADDR-002;TOX-003;RICO-005,2026-05-20T00:00:00+00:00,Environmental Assessment,Hexavalent Chromium groundwater plume confirmed with active migration towards HBNC site,,,
TL-038,TIMELINE,May 3-9 2026 Weekly Intelligence Briefing,Timeline,RICO-001;RICO-002;RICO-003;RICO-004;RICO-005,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,"Seven daily intelligence sweeps covering May 3-9, 2026 (PDT) across all Ironman RICO Matrix nodes",,,
TL-039,TIMELINE,May 9 2026 LAist Restitution Default Exposed,Timeline,PER-004;LEG-001,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,LAist publication confirms Andrew Do restitution default; USAO states first $250k installment unpaid,,,
TL-040,TIMELINE,~May 10 2026 Nancy Guthrie 100-Day Milestone,Timeline,PER-032;GOV-013,2026-05-20T00:00:00+00:00,Ironman RICO Matrix,Nancy Guthrie case approaches 100-day mark; Mother's Day deadline (~May 10); $1.2M reward active,,,
TL-041,TIMELINE,Feb 2021: Contracts COVID while operating as essential worker,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,"Self-employed sole prop (since 2017) providing consulting/digital tech/CNC for millworks (Atlas, Five Star). Classified as essential worker (completion of sanitation systems, kitchens, baths). Work stored in GDrive/Gmail.",Unknown,,
TL-042,TIMELINE,Mar 2021: Financial strain and rental relief,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,"Paychecks smaller due to COVID, signs up for rental relief program.",,,
TL-043,TIMELINE,Apr 2021: Removed from rental relief,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Property managers refuse rent payments and remove from relief program. (Note: Was not laid off; active essential worker/sole prop).,,,
TL-044,TIMELINE,May 2021: Unknowing eviction default and mail theft,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Eviction court docs not received. Mail begins being stolen.,,,
TL-045,TIMELINE,Jun 2021: Sheriff visits begin,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Neighbor notifies of sheriff visits. Selling belongings to survive.,,,
TL-046,TIMELINE,"Jul 2021: Eviction canceled, bank account closed",Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Mayor's office stops July 12 eviction. Chase bank shuts down account and deletes records.,,,
TL-047,TIMELINE,"Aug 4, 2021: Armed eviction at 212 Southbrook home office",Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Stopped from working at gunpoint by sheriffs at COVID-19 temp home office bunker (212 Southbrook). Relief money orders returned as fraudulent. Driver's license stolen.,,,
TL-048,TIMELINE,"Sep 2021: Car repossessed, T-Mobile breach identity theft",Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Ally Bank repossesses car. Hackers from T-Mobile breach steal identity and car payments. Becomes homeless on beach.,,,
TL-049,TIMELINE,Oct 2021: Flees to NJ to protect son,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Realizes impersonation is sophisticated. Travels to NJ to draw threat away from son.,,,
TL-050,TIMELINE,Nov-Dec 2021: Homeless in NJ,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Family disbelieves him. Stays with friend for 30 days. Last sees uncle in good health on Xmas.,,,
TL-051,TIMELINE,"Jan 2022: Returns to CA, enters Lutheran Church shelter",Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,"Uncle paralyzed. Returns to CA, camps on beach, gets shelter at Lutheran Church.",,,
TL-052,TIMELINE,"Feb 2022: Recovers ID, starts Uber Eats",Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,"Receives delayed driver's license. Rents car, applies for EDD and Uber Eats.",,,
TL-053,TIMELINE,Mar-Apr 2022: Living in rental car,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Leaves shelter due to stalker. Lives and works out of rental car.,,,
TL-054,TIMELINE,May 2022: IHSS Hero Paycheck stolen,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Senator Feinstein's office helps with EDD. Hackers steal and cash IHSS Hero Paycheck.,,,
TL-055,TIMELINE,"Jun 2022: Car crash, homeless again",Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,"Working 100+ hours straight, falls asleep at wheel, totals rental car. Returns to beach camping.",,,
TL-056,TIMELINE,Jul 2022: Discovers bank and property manager coverup,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,"Hacks into own closed accounts, discovers coverup. Goes to legal aid and OC bar.",,,
TL-057,TIMELINE,"Aug-Sep 2022: Travels to Mexico, returns to shelter",Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Travels to Rosarito to help sick mother. Returns to CA and enters shelter. Bank 2 investigates.,,,
TL-058,TIMELINE,Oct-Nov 2022: T-Mobile breach confirmed,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Bank 2 confirms T-Mobile data breach is source of identity theft. Submits claim.,,,
TL-059,TIMELINE,Dec 2022: Carjacked and fired by Uber,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,"Rents car, carjacked on 2nd day, recovers it by force. Fired by Uber on Xmas Eve.",,,
TL-060,TIMELINE,"Jan-Feb 2023: T-Mobile claim delayed, storage threatened",Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,Works DoorDash. T-Mobile delays claim. Storage unit threatened with auction after prepaid cards hacked.,,,
TL-061,TIMELINE,Mar 2023: Rental car and belongings stolen,Timeline,PER-001,2026-05-23T00:00:00+00:00,Email Testimony,"Rental car, wallet, ID stolen outside lawyer's office. Robbed of $6k duffle bag at new storage. Turned down by legal aid.",,,
