Category,Entity / Borrower,Registered Property / City,Loan / Claim Origin State,Amount ($),Forgiven ($),Anomaly Details
Multi-State Shell Structure,"GORDON CHEVROLET, INC.",Multi-Jurisdictional,"FL, MA, MI",3113971.3899999997,3157923.96,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,DEMAND ELECTRIC INC.,Multi-Jurisdictional,"NH, NJ, NY",3093525.0,1702096.02,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,TAYLOR ENTERPRISES INC,Multi-Jurisdictional,"NC, OR, SC",3044655.5,3068023.6599999997,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,CLC INC,Multi-Jurisdictional,"CA, ID, TX",2927289.0,2958962.6100000003,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,"LIBERTY CHEVROLET, INC.",Multi-Jurisdictional,"IL, MA, MI",2919726.0,2953845.99,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,REACH INC,Multi-Jurisdictional,"AK, MT, OR",2918234.0,2947773.1399999997,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,WARREN INDUSTRIES INC,Multi-Jurisdictional,"MI, TX, WI",2884640.0,2908220.39,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,ELITE HOME HEALTH CARE INC,Multi-Jurisdictional,"IL, NC, PA",2811131.0,2476179.47,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,MODERN INDUSTRIES INC.,Multi-Jurisdictional,"MI, PA, RI",2786787.5,2815114.68,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,HARMONY HEALTHCARE LLC,Multi-Jurisdictional,"AZ, CA, OH",2773636.0,2820101.9699999997,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,ENTECH ENGINEERING INC.,Multi-Jurisdictional,"CO, PA, TN",2744295.0,2774533.76,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,WCS INC,Multi-Jurisdictional,"KS, MA, TX",2596575.0,2620581.76,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,RESORT MANAGEMENT GROUP LLC,Multi-Jurisdictional,"CO, HI, WY",2594979.0,2620051.2,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,"MIDWEST MASONRY, INC.",Multi-Jurisdictional,"IA, IL, NE",2546349.0,2570434.19,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,PSI LLC,Multi-Jurisdictional,"CO, TN, WY",2532140.0,2552193.87,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,ACE ELECTRIC INC,Multi-Jurisdictional,"FL, IA, PA",2519906.5,2543379.29,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,C.A. JONES INC.,Multi-Jurisdictional,"IL, MS, VA",2485025.0,2514267.14,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,SUPERIOR STAFFING LLC,Multi-Jurisdictional,"NC, NJ, TX",2463396.0,2502376.34,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,AVENUE RESTAURANT LLC,Multi-Jurisdictional,"MA, NY, WI",2462403.0,1896161.96,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,RYAN CONSTRUCTION INC,Multi-Jurisdictional,"IN, MI, TX",2402920.0,2419354.24,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,INCARNATE WORD ACADEMY,Multi-Jurisdictional,"MO, OH, TX",2355370.0,2370522.33,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,"MAGIC INDUSTRIES, INC.",Multi-Jurisdictional,"OH, TX, VA",2341447.29,2258067.01,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"THE HOLT GROUP, INC.",Multi-Jurisdictional,"CA, NC, WA",2321882.0,2342455.85,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,BETTER BUSINESS BUREAU INC,Multi-Jurisdictional,"AZ, CA, OH",2310917.7,2329501.51,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"FAMILY SERVICES, INC.",Multi-Jurisdictional,"IN, NC, PA",2286056.88,1663489.28,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,COMMERCIAL BUILDERS INC,Multi-Jurisdictional,"CA, FL, KS",2269141.0,2288893.7800000003,Operates across 3 states with 6 distinct loans
Multi-State Shell Structure,COMPASS INC,Multi-Jurisdictional,"FL, IL, VA",2254782.5,2130535.6900000004,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,RIVCO CONSTRUCTION LLC,Multi-Jurisdictional,"CT, HI, NY",2251821.0,2269256.49,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"RIVCO CONSTRUCTION, LLC",Multi-Jurisdictional,"CT, HI, NY",2235647.0,2263981.87,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,ARCHITECTURAL SHEET METAL INC,Multi-Jurisdictional,"FL, NJ, WA",2224800.0,2245749.04,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,BLUE SKY HOSPITALITY LLC,Multi-Jurisdictional,"LA, MN, NY",2221669.32,2240741.39,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"AMERICAN MECHANICAL, INC.",Multi-Jurisdictional,"CA, KS, VA",2209120.46,2228186.62,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"PREMIER ELECTRIC, INC.",Multi-Jurisdictional,"CA, NE, NY",2178215.0,2192734.95,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"AIR MECHANICAL, INC.",Multi-Jurisdictional,"GA, MN, ND",2142334.0,2154145.93,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,DESIGN CENTER INC,Multi-Jurisdictional,"FL, MN, NY",2136790.0,2156163.58,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"SUPERIOR, INC.",Multi-Jurisdictional,"AR, ND, PA",2117773.04,2135399.4299999997,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,ACP LLC,Multi-Jurisdictional,"LA, MD, VA",2070692.9100000001,2084019.1099999999,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"STRUCTURA, INC.",Multi-Jurisdictional,"KS, MD, TX",2053855.0,2069926.57,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,PRESTIGE CLEANERS INC,Multi-Jurisdictional,"AZ, CA, TN",2021627.0,2048215.56,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,CREDO LLC,Multi-Jurisdictional,"DC, MN, NC",1950009.0,1982200.58,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,AIR CENTER INC,Multi-Jurisdictional,"MI, NJ, PA",1929582.0,1945236.94,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,"SUMMIT BUILDING SERVICES, INC.",Multi-Jurisdictional,"CA, CO, MD",1927052.7,1946319.41,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,EXCEL ELECTRIC INC,Multi-Jurisdictional,"CA, MI, SC",1926968.17,1942866.2400000002,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,ELECTRICAL SYSTEMS INC,Multi-Jurisdictional,"CT, IL, MT",1911928.0,680076.97,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"TRIANGLE ASSOCIATES, INC.",Multi-Jurisdictional,"MI, VA, WA",1905440.0,1925447.44,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,PLANT SERVICES INC,Multi-Jurisdictional,"KY, MT, TX",1892520.65,1905696.42,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,RESTAURANT CONCEPTS LLC,Multi-Jurisdictional,"AK, CA, TN",1841262.0,1854205.72,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"DAVIS ELECTRIC, INC.",Multi-Jurisdictional,"CA, KS, TN",1832716.0,1846950.86,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,AEC INC,Multi-Jurisdictional,"CO, GA, OR",1825895.0,1835641.8499999999,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,COLONIAL MOTORS INC,Multi-Jurisdictional,"CT, DE, NJ",1793045.0,1780320.56,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,COMMERCIAL CONTRACTORS INC,Multi-Jurisdictional,"AK, MI, WA",1770780.0,1783439.7999999998,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,WEST LLC,Multi-Jurisdictional,"MN, MO, PR",1763600.0,1777400.22,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,SUMMIT CONSTRUCTION INC,Multi-Jurisdictional,"FL, HI, MD",1707100.0,1726314.77,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,APS INVESTORS LLC,Multi-Jurisdictional,"CA, CO, OH",1691627.5,1467026.7199999997,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"TSE, INC.",Multi-Jurisdictional,"MN, NC, PA",1687865.0,1701373.0,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,THE PEDIATRIC CENTER LLC,Multi-Jurisdictional,"CO, GA, MD",1669141.6,1679971.3499999999,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,EMPIRE HOSPITALITY LLC,Multi-Jurisdictional,"AL, MN, WA",1659002.45,698835.98,Operates across 3 states with 3 distinct loans
Direct RICO Anomaly,STEWART INDUSTRIES LLC,3311 BOUNTY CIR,"Battle Creek, MI; BATTLE CREEK, MI",1128327.5,1137910.56,Identified in RICO evidence table. Mail city: SEAL BEACH
Direct RICO Anomaly,TRIUMVIRATE LLC,21951 BROOKHURST ST,"Anchorage, AK",852740.0,859751.42,Identified in RICO evidence table. Mail city: FOUNTAIN VALLEY
Direct RICO Anomaly,LAZER LLC,7782 RONALD DR,"SADDLE RIVER, NJ",600000.0,,Identified in RICO evidence table. Mail city: INDIO
Direct RICO Anomaly,INCUPLACE LLC,88 FAIR DR,"MARINA DEL REY, CA; Marina del Rey, CA",588619.0,593392.8,Identified in RICO evidence table. Mail city: ALHAMBRA
Direct RICO Anomaly,NEWPORT LLC,4340 VON KARMAN AVE STE 205,"SAN FRANCISCO, CA",536590.0,540721.01,Identified in RICO evidence table. Mail city: DIAMOND BAR
Direct RICO Anomaly,PACE RECOVERY CENTER LLC,528 16TH ST,"NEWPORT BEACH, CA",510549.0,515612.53,Identified in RICO evidence table. Mail city: COSTA MESA
Direct RICO Anomaly,HB LLC,9472 RAMBLER DR,"PROVIDENCE, RI; LONG BEACH, CA; Long Beach, CA",444400.0,448372.27,Identified in RICO evidence table. Mail city: EDMONDS
Direct RICO Anomaly,RAV LLC,1 MAIN ST,"MYRTLE BEACH, SC; Myrtle Beach, SC",392800.0,397374.6,Identified in RICO evidence table. Mail city: SAN FRANCISCO
Direct RICO Anomaly,2450 COLORADO BLVD LLC,16255 PACIFIC CIR APT 306,"Chatsworth, CA",376000.0,,Identified in RICO evidence table. Mail city: SANDY
Direct RICO Anomaly,THE LE FAMILY LLC,16752 JEFFREY CIR,"Killeen, TX; KILLEEN, TX",366700.0,371325.67,Identified in RICO evidence table. Mail city: CORONA
Direct RICO Anomaly,LIGHTHOUSE CAFE LLC,1600 W BALBOA BLVD,"Newport Beach, CA",366554.0,369265.5,Identified in RICO evidence table. Mail city: DANA POINT
Direct RICO Anomaly,DRT LLC,16862 CORAL CAY LN,"ONTARIO, OR",357716.32,362048.12,Identified in RICO evidence table. Mail city: NEWPORT BEACH
Direct RICO Anomaly,COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 124,"FOUNTAIN VALLEY, CA",279820.0,281636.91,Identified in RICO evidence table. Mail city: FOUNTAIN VALLEY
Direct RICO Anomaly,COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 123,"FOUNTAIN VALLEY, CA",279820.0,281636.91,Identified in RICO evidence table. Mail city: FOUNTAIN VALLEY
Direct RICO Anomaly,DBS-ENTERPRISES LLC,2881 COAST CIR APT A,"Chugiak, AK; SANTA CLARA, CA",237189.0,106245.66,Identified in RICO evidence table. Mail city: LAS VEGAS
Direct RICO Anomaly,RMI MANAGEMENT LLC,17191 KAMPEN LN,"LONGVIEW, TX",217702.0,220600.72,Identified in RICO evidence table. Mail city: NEWPORT BEACH
Direct RICO Anomaly,FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4,"Windermere, FL",205800.0,207040.44,Identified in RICO evidence table. Mail city: WESTMINSTER
Direct RICO Anomaly,NEWPORT BEACH GOLF COURSE LLC,119-200 IRVINE BLVD,"NEWPORT BEACH, CA",115400.0,116402.24,Identified in RICO evidence table. Mail city: NEWPORT BEACH
Direct RICO Anomaly,DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,"SUNSET BEACH, CA; Sunset Beach, CA",115000.0,116052.33,Identified in RICO evidence table. Mail city: SUNSET BEACH
Direct RICO Anomaly,DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,"SUNSET BEACH, CA; Sunset Beach, CA",115000.0,116052.33,Identified in RICO evidence table. Mail city: SUNSET BEACH
Direct RICO Anomaly,GOLDEN HILLS PROPERTIES LLC,3335 W COAST HWY,"Los Angeles, CA",88324.4,88842.08,Identified in RICO evidence table. Mail city: BEVERLY HILLS
Direct RICO Anomaly,A & D LLC,5821 VIEW CIR,"Phoenix, AZ",55324.47,55607.24,Identified in RICO evidence table. Mail city: FOUNTAIN VALLEY
Direct RICO Anomaly,WFS PROPERTIES LLC,212 15TH ST,"BREA, CA",54417.0,54911.97,Identified in RICO evidence table. Mail city: BREA
Direct RICO Anomaly,RANCHO LA SIESTA LLC,18194 BUSHARD ST,"Fountain Valley, CA",45000.0,45366.25,Identified in RICO evidence table. Mail city: FOUNTAIN VALLEY
Direct RICO Anomaly,CROWN WEALTH PROPERTIES LLC,2900 BRISTOL ST # 1,"COSTA MESA, CA",43190.0,43676.33,Identified in RICO evidence table. Mail city: COSTA MESA
Direct RICO Anomaly,MERRIMAC PARTNERS LLC,20962 CABRILLO LN # 61,"YORBA LINDA, CA",41665.0,42106.21,Identified in RICO evidence table. Mail city: YORBA LINDA
Direct RICO Anomaly,SAMPSON VENTURES LLC,17682 SAMPSON LN,"Mesa, AZ",32690.0,32934.34,Identified in RICO evidence table. Mail city: HESPERIA
Direct RICO Anomaly,PARKSVILLE INVESTMENT LLC,7450 EDINGER AVE,"LOS ANGELES, CA",29165.0,29650.02,Identified in RICO evidence table. Mail city: LOS ANGELES
Direct RICO Anomaly,JEK INVESTMENTS LLC,1325 DELAWARE ST,"Phoenix, AZ",26907.0,27221.78,Identified in RICO evidence table. Mail city: COSTA MESA
Direct RICO Anomaly,BONGOS SPORTFISHING LLC,829 HARBOR ISLAND DR,"NEWPORT BEACH, CA",25250.0,25670.66,Identified in RICO evidence table. Mail city: ROSSMOOR
Direct RICO Anomaly,DRT INVESTMENTS LLC,16862 CORAL CAY LN,"Phoenix, AZ",24094.0,24246.82,Identified in RICO evidence table. Mail city: NEWPORT BEACH
Direct RICO Anomaly,DRT INVESTMENTS LLC,19900 BEACH BLVD,"Phoenix, AZ",24094.0,24246.82,Identified in RICO evidence table. Mail city: NEWPORT BEACH
Direct RICO Anomaly,SMD INVESTMENTS LLC,1654 IOWA ST UNIT C,"Cottondale, AL",21700.0,21909.16,Identified in RICO evidence table. Mail city: GARDEN GROVE
Direct RICO Anomaly,JBH LLC,711 W 17TH ST # 19,"PHOENIX, AZ",20607.0,20816.46,Identified in RICO evidence table. Mail city: NORTH TUSTIN
Direct RICO Anomaly,SUMMIT PROPERTIES LLC,2501 FLORIDA ST,"Guntersville, AL",16340.0,16419.43,Identified in RICO evidence table. Mail city: ORANGE
