llc_name,property_address,mailing_address,mail_city,APN,LastSeller,LastSaleDate,sale_price,ppp_borrower,ppp_city,ppp_state,ppp_amount,ppp_forgiven,ppp_date,ppp_status,BusinessType,NAICSCode,NonProfit,JobsReported,ppp_lender,orig_lender,lender_city,lender_state,days_property_to_ppp,is_out_of_state_ppp,is_out_of_state_mail
RMI MANAGEMENT LLC,17191 KAMPEN LN,5 RIDGELINE DR,NEWPORT BEACH,167-343-14,"RAINES, AMY C; KATHLEEN W RAINES REVOCABLE TRUST,",06/06/2017,620000.0,RMI MANAGEMENT LLC,LONGVIEW,TX,217702.0,220600.72,04/06/2020,Paid in Full,Limited  Liability Company(LLC),722511,,50.0,Texas Bank and Trust Company,Texas Bank and Trust Company,LONGVIEW,TX,1035,True,False
THE LE FAMILY LLC,16752 JEFFREY CIR,2279 EAGLE GLEN PKWY # 112-461,CORONA,107-662-06,"LE, THANG BA; NGUYEN, PHUONG DUNG HUYNH",06/28/2019,0.0,THE LE FAMILY LLC,Killeen,TX,213900.0,216929.76,02/12/2021,Paid in Full,Limited  Liability Company(LLC),721110,,22.0,Loan Source Incorporated,Herring Bank,AMARILLO,TX,595,True,True
FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4,9631 BOLSA AVE,WESTMINSTER,938-270-26,"NGUYEN, JOHN",10/17/2012,0.0,"FIRST HIGHLAND, LLC",ORLANDO,FL,205811.48,207311.37,04/29/2020,Paid in Full,Limited  Liability Company(LLC),621399,,25.0,United Community Bank,United Community Bank,ORLANDO,FL,2751,True,False
FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4,9631 BOLSA AVE,WESTMINSTER,938-270-26,"NGUYEN, JOHN",10/17/2012,0.0,FIRST HIGHLAND LLC,Windermere,FL,205800.0,207040.44,01/30/2021,Paid in Full,Limited  Liability Company(LLC),812199,,25.0,United Community Bank,United Community Bank,Greenville,SC,3027,True,False
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HB LLC,PROVIDENCE,RI,193170.0,195424.53,04/15/2020,Paid in Full,Limited  Liability Company(LLC),541310,,13.0,Webster Bank National Association,Webster Bank National Association,WATERBURY,CT,316,True,True
2450 COLORADO BLVD LLC,16255 PACIFIC CIR APT 306,9025 S 1300 E,SANDY,936-770-15,"U S BANK NATIONAL ASSOCIATION,",02/21/2012,385000.0,2450 COLORADO BLVD LLC,Chatsworth,CA,188000.0,,03/12/2021,Exemption 4,Limited  Liability Company(LLC),531110,,20.0,"Zions Bank, A Division of","Zions Bank, A Division of",SALT LAKE CITY,UT,3307,False,True
2450 COLORADO BLVD LLC,16255 PACIFIC CIR APT 306,9025 S 1300 E,SANDY,936-770-15,"U S BANK NATIONAL ASSOCIATION,",02/21/2012,385000.0,2450 COLORADO BLVD LLC,Chatsworth,CA,188000.0,,06/17/2020,Exemption 4,Limited  Liability Company(LLC),531110,,20.0,"Zions Bank, A Division of","Zions Bank, A Division of",SALT LAKE CITY,UT,3039,False,True
TRK LLC,7924 STARK DR,3316 LONDON ST,LOS ANGELES,142-083-09,"THE BAGSTAD GROUP THREE LP,",12/06/2016,5250000.0,"TRK, LLC",SALT LAKE CITY,UT,175700.0,178313.84,04/10/2020,Paid in Full,Limited  Liability Company(LLC),541512,,9.0,America First FCU,America First FCU,RIVERDALE,UT,1221,True,True
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,",",,,RAV LLC,MYRTLE BEACH,SC,163700.0,165932.69,04/08/2020,Paid in Full,Limited Liability Partnership,722511,,45.0,South Atlantic Bank,South Atlantic Bank,MYRTLE BEACH,SC,,True,True
THE LE FAMILY LLC,16752 JEFFREY CIR,2279 EAGLE GLEN PKWY # 112-461,CORONA,107-662-06,"LE, THANG BA; NGUYEN, PHUONG DUNG HUYNH",06/28/2019,0.0,THE LE FAMILY LLC,KILLEEN,TX,152800.0,154395.91,04/15/2020,Paid in Full,Limited  Liability Company(LLC),721110,,35.0,Herring Bank,Herring Bank,AMARILLO,TX,292,True,True
EVERSTONE CAPITAL LLC,280 CAGNEY LN APT 116,268 AMBROISE,NEWPORT COAST,930-775-74,"PREECE, THOMAS R; THOMAS PREECE LIVING TRUST,",03/07/2025,900000.0,EVERSTONE CAPITAL LLC,NEW YORK,NY,146499.0,,05/19/2020,Paid in Full,Limited  Liability Company(LLC),812990,,5.0,"PNC Bank, National Association",First Source Federal Credit Union,Rome,NY,-1753,True,True
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HB LLC,Long Beach,CA,146130.0,147152.91,02/11/2021,Paid in Full,Limited  Liability Company(LLC),721110,,18.0,East West Bank,East West Bank,PASADENA,CA,618,False,True
H B ENTERPRISE PROPERTY LLC,18372 ENTERPRISE LN,7332 SIENA AVE,WESTMINSTER,159-212-04,"MUESEGAES, FREDERICK G; FREDERICK G MUESEGAES RLT,",,0.0,"H.B. ENTERPRISE PROPERTY, LLC",Garden Grove,CA,145832.5,147849.85,02/11/2021,Paid in Full,Limited  Liability Company(LLC),424990,,7.0,Itria Ventures LLC,Itria Ventures LLC,New York,NY,,False,False
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBS ENTERPRISES LLC,SANTA CLARA,CA,131908.0,,04/15/2020,Paid in Full,Limited  Liability Company(LLC),722511,,9.0,Heritage Bank of Commerce,Heritage Bank of Commerce,SAN JOSE,CA,-806,False,True
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,"ORO REAL ESTATE GROUP USA LLC,",08/29/2014,210000.0,GALAXY MANAGEMENT  LLC,FRISCO,TX,131324.42,,04/10/2020,Paid in Full,Limited Liability Partnership,531390,,10.0,Capital Community Bank,Capital Community Bank,PROVO,UT,2051,True,True
NEWPORT BEACH GOLF COURSE LLC,119-200 IRVINE BLVD,3100 IRVINE AVE,NEWPORT BEACH,988-012-81,",",,,NEWPORT BEACH GOLF COURSE LLC,NEWPORT BEACH,CA,115400.0,116402.24,04/15/2020,Paid in Full,Limited  Liability Company(LLC),713910,,19.0,BayFirst National Bank,BayFirst National Bank,Saint Petersburg,FL,,False,False
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HB LLC,LONG BEACH,CA,105100.0,105794.83,04/09/2020,Paid in Full,Limited  Liability Company(LLC),721110,,22.0,East West Bank,East West Bank,PASADENA,CA,310,False,True
HSIAO GROUP LLC,1687 TOPANGA,225 DEERFIELD DR,WALNUT,930-617-42,"HSIAO, DAVID YINGLUNG; HSIAO, MARSHA LICHEN",,0.0,"HSIAO-GROUP, LLC",BUFFALO GROVE,IL,104100.0,35188.77,04/15/2020,Paid in Full,Limited  Liability Company(LLC),541614,,1.0,"Citibank, N.A.","Citibank, N.A.",Sioux Falls,SD,,True,True
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,6000 HACKBERRY CT,FRISCO,936-178-59,"CHOPRA, VIK; CHOPRA, MEERA",12/12/2019,0.0,"J&J HOLDINGS, LLC",SHAKOPEE,MN,102390.0,100076.93,05/08/2020,Paid in Full,Limited  Liability Company(LLC),484110,,10.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,148,True,True
INFINITY PROPERTIES LLC,775 W 17TH ST STE E,3419 VIA LIDO # 650,NEWPORT BEACH,939-831-22,"THE RICHARD AND KIM DETKEN FAMILY TRUST, ; DETKEN, RICHARD W",09/18/2025,901500.0,INFINITY PROPERTIES LLC,MOUNDS,OK,93200.0,94297.97,04/08/2020,Paid in Full,Limited Liability Partnership,236117,,7.0,BancFirst,BancFirst,OKLAHOMA CITY,OK,-1989,True,False
GOLDEN HILLS PROPERTIES LLC,3335 W COAST HWY,9701 WILSHIRE BLVD STE 1115,BEVERLY HILLS,988-023-26,",",,,GOLDEN HILLS PROPERTIES LLC,Los Angeles,CA,88324.4,88842.08,01/28/2021,Paid in Full,Limited  Liability Company(LLC),531120,,6.0,East West Bank,East West Bank,PASADENA,CA,,False,True
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,04/29/2020,Paid in Full,Limited  Liability Company(LLC),722511,,15.0,ANB Bank,ANB Bank,DENVER,CO,48,True,True
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,04/29/2020,Paid in Full,Limited  Liability Company(LLC),722511,,15.0,ANB Bank,ANB Bank,DENVER,CO,,True,True
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,04/29/2020,Paid in Full,Limited  Liability Company(LLC),722511,,15.0,ANB Bank,ANB Bank,DENVER,CO,,True,True
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,"CHANG, ROBERT T; CHANG, SANDRA T",,0.0,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,04/29/2020,Paid in Full,Limited  Liability Company(LLC),722511,,15.0,ANB Bank,ANB Bank,DENVER,CO,,True,True
GOLDEN HILLS PROPERTIES LLC,3335 W COAST HWY,9701 WILSHIRE BLVD STE 1115,BEVERLY HILLS,988-023-26,",",,,"GOLDEN HILLS PROPERTIES, LLC",LOS ANGELES,CA,87500.0,88144.1,04/10/2020,Paid in Full,Limited  Liability Company(LLC),531120,,6.0,East West Bank,East West Bank,PASADENA,CA,,False,True
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,"ORO REAL ESTATE GROUP USA LLC,",08/29/2014,210000.0,"GALAXY MANAGEMENT, LLC",AUBURN,MA,86400.0,87514.92,04/04/2020,Paid in Full,Limited  Liability Company(LLC),541611,,6.0,bankHometown,bankHometown,OXFORD,MA,2045,True,True
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,"ORO REAL ESTATE GROUP USA LLC,",08/29/2014,210000.0,GALAXY MANAGEMENT LLC,Webster,MA,86400.0,86977.58,01/22/2021,Paid in Full,Limited  Liability Company(LLC),541310,,6.0,bankHometown,bankHometown,OXFORD,MA,2338,True,True
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBS ENTERPRISES LLC,CAMDEN WYOMING,DE,78693.87,79377.32,04/28/2020,Paid in Full,Limited  Liability Company(LLC),811121,,7.0,"Wilmington Savings Fund Society, FSB","Wilmington Savings Fund Society, FSB",WILMINGTON,DE,-793,True,True
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBS ENTERPRISES LLC,Camden Wyoming,DE,78692.0,79392.68,03/20/2021,Paid in Full,Limited  Liability Company(LLC),811121,,8.0,Loan Source Incorporated,Northeast Bank,LEWISTON,ME,-467,True,True
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,04/07/2020,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,Origin Bank,CHOUDRANT,LA,26,True,True
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,04/07/2020,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,Origin Bank,CHOUDRANT,LA,,True,True
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,04/07/2020,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,Origin Bank,CHOUDRANT,LA,,True,True
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,"CHANG, ROBERT T; CHANG, SANDRA T",,0.0,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,04/07/2020,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,Origin Bank,CHOUDRANT,LA,,True,True
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,SD&R LLC,Southlake,TX,69600.0,70251.53,01/28/2021,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,Origin Bank,CHOUDRANT,LA,322,True,True
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SD&R LLC,Southlake,TX,69600.0,70251.53,01/28/2021,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,Origin Bank,CHOUDRANT,LA,,True,True
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SD&R LLC,Southlake,TX,69600.0,70251.53,01/28/2021,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,Origin Bank,CHOUDRANT,LA,,True,True
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,"CHANG, ROBERT T; CHANG, SANDRA T",,0.0,SD&R LLC,Southlake,TX,69600.0,70251.53,01/28/2021,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,Origin Bank,CHOUDRANT,LA,,True,True
INFINITY PROPERTIES LLC,775 W 17TH ST STE E,3419 VIA LIDO # 650,NEWPORT BEACH,939-831-22,"THE RICHARD AND KIM DETKEN FAMILY TRUST, ; DETKEN, RICHARD W",09/18/2025,901500.0,INFINITY PROPERTIES LLC,Mounds,OK,69585.0,70238.33,01/19/2021,Paid in Full,Limited Liability Partnership,236210,,7.0,Regent Bank,Regent Bank,TULSA,OK,-1703,True,False
MRB ENTERPRISES LLC,826 BRICKYARD LN # 8,825 BRICKYARD LN,COSTA MESA,937-782-53,",",,,"MRB ENTERPRISES, LLC",ONAWA,IA,68000.0,68495.56,04/08/2020,Paid in Full,Limited  Liability Company(LLC),238350,,8.0,United Bank of Iowa,United Bank of Iowa,IDA GROVE,IA,,True,False
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,"A&D, LLC",Asheville,NC,67912.5,68520.92,04/09/2020,Paid in Full,Corporation,448140,,2.0,HomeTrust Bank,HomeTrust Bank,ASHEVILLE,NC,-404,True,False
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,A & D LLC,Asheville,NC,67912.0,68228.3,02/23/2021,Paid in Full,Corporation,448190,,14.0,HomeTrust Bank,HomeTrust Bank,ASHEVILLE,NC,-84,True,False
AGHA LLC,7852 RONALD DR,16 GENEVE,NEWPORT BEACH,165-302-12,"KIUMP OZ FUND LLC,",06/30/2021,0.0,AGHA LLC,BLAUVELT,NY,67712.0,68318.44,05/01/2020,Paid in Full,Limited  Liability Company(LLC),424120,,3.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL,-425,True,False
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-581-12,"JAY RAMDEV JI CORPORATION,",04/21/2016,1700000.0,DEVPRI HOSPITALITY LLC,Sunset Beach,CA,67100.0,67723.2,03/13/2021,Paid in Full,Limited  Liability Company(LLC),721110,,10.0,PCB Bank,PCB Bank,LOS ANGELES,CA,1787,False,True
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-516-13,"SANATHRA, RAJNI",,0.0,DEVPRI HOSPITALITY LLC,Sunset Beach,CA,67100.0,67723.2,03/13/2021,Paid in Full,Limited  Liability Company(LLC),721110,,10.0,PCB Bank,PCB Bank,LOS ANGELES,CA,,False,True
LOS ALAMOS LLC,17101 ASH LN,1100 DENNIS DR,COSTA MESA,165-362-17,"AYYOUB, EMAD H; AYYOUB, ENTESSAR",01/12/2016,2200000.0,LOS ALAMOS LLC,Uvalde,TX,64600.0,64923.88,02/22/2021,Paid in Full,Limited  Liability Company(LLC),722513,,5.0,First State Bank of Uvalde,First State Bank of Uvalde,UVALDE,TX,1868,True,False
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,A & D LLC,Phoenix,AZ,55324.47,55607.24,02/19/2021,Paid in Full,Limited  Liability Company(LLC),311520,,10.0,First Fidelity Bank,First Fidelity Bank,OKLAHOMA CITY,OK,-88,True,False
DLC ENTERPRISES LLC,17392 QUEENS LN,2650 ELM AVE STE 218,LONG BEACH,165-233-04,"ELKHOURY, GEORGE F; ELKHOURY, REBECCA L",12/02/2016,1125000.0,"DLC ENTERPRISES, LLC",Ashburn,VA,55000.0,55575.97,01/28/2021,Paid in Full,Limited  Liability Company(LLC),541519,,4.0,Fountainhead SBF LLC,Fountainhead SBF LLC,LAKE MARY,FL,1518,True,False
