Owner1,Owner2,SiteAddress,MailAddress,MailCity,APN,LastSeller,LastSaleDate,LastSaleValue
GOLDEN OAK CAPITAL MANAGEMENT LLC, HOLIDAY WEST HES LLC,14251 GOLDENWEST ST,1380 S ANAHEIM BLVD,ANAHEIM,195-332-01,"THE SCHOOL OF THE OZARKS,",02/16/2016,14970000.0
RSD LLC,,4771 JAMES CIR,8861 KATELLA AVE,ANAHEIM,163-291-60,"FURIGA, CAROL ANN MONHEIM; ESTATE OF RICHARD JAMES MONHEIM,",06/18/2009,1025000.0
RSD LLC,,4781 JAMES CIR,8861 KATELLA AVE,ANAHEIM,163-291-61,"FURIGA, CAROL ANN MONHEIM; ESTATE OF RICHARD JAMES MONHEIM,",06/18/2009,1025000.0
PSI REAL ESTATE LLC,,323 14TH ST,387 S HENNING WAY,ANAHEIM,024-024-08,"SLOAN, RICHARD T; SLOAN, MARY E",02/22/2024,5450000.0
OWEN PROPERTY LLC,,731 OWEN DR,939 S CREEKVIEW LN,ANAHEIM,025-181-25,"A A S W LLC,",05/20/2021,2200000.0
HADD PROPERTIES WARNER LLC,,11420 WARNER AVE,199 S FERRARI WAY,ANAHEIM,988-011-55,"BRISTOL PARK INVESTMENT GROUP III LP,",,2800000.0
JARIC PROPERTIES LLC,,17288 BEACH BLVD,1321 S AUTO CENTER DR,ANAHEIM,167-311-03,"STEINER, MAUREEN; STEINER FAMILY TRUST,",04/12/2013,3400000.0
JARIC PROPERTIES LLC,,17342 BEACH BLVD,1321 S AUTO CENTER DR,ANAHEIM,167-311-04,"C & S LEE PROPERTIES LLC,",04/26/2023,2600000.0
YN REAL ESTATE LLC,,6502 BOLSA AVE,631 S BROOKHURST ST STE 213,ANAHEIM,145-211-54,"YS PROPERTIES LLC,",03/11/2022,5100000.0
BIRCH MEDICAL LLC,,20311 SW BIRCH ST,327 S ROYAL RIDGE DR,ANAHEIM,930-685-01,"PICKETT, ALIECE M; SCHROEDER, EDWARD P",04/30/2021,3000000.0
S2AT LLC,,603 10TH ST,3300 MATLOCK RD,ARLINGTON,024-091-21,"RUSSO, DANIEL J; RUSSO, JOYE M",07/13/2021,1795000.0
KRISFLOWANG INVESTMENTS LLC,,7281 CORSICAN DR,PO BOX 402,ARTESIA,142-231-13,"SWAIL, JON R; SWAIL, JUDITH L",06/28/2013,1133500.0
H & W APPRAISAL SERVICE LLC,,201 SPRINGFIELD AVE,1679 E ORANGETHORPE AVE UNIT 61,ATWOOD,025-032-13,"SLATER, CINDY LEE",03/05/2019,1100000.0
RETREAT2NEWPORT LLC,,1049 GRANVILLE DR,2028 E BEN WHITE BLVD # 240-8240,AUSTIN,939-637-52,"KENNEDY JR, MICHAEL L; KANOWSKY CREDIT SHELTER TRUST,",08/07/2019,1490000.0
KCC1 PROPERTIES LLC,,7264 ROSEMARIE LN,13004 STOCKDALE HWY,BAKERSFIELD,935-761-16,"NABHANI, MOHAMMAD A",12/20/2021,850000.0
KCCI PROPERTIES LLC,,1516 BRUINBARK LN # 20,13004 STOCKDALE HWY,BAKERSFIELD,936-800-20,"WHITE, RACHEL RINA; BURSTEIN, RACHEL RINA",12/22/2021,860000.0
5 TKACS LLC,,1704 WESTCLIFF DR # 16,12309 APRIL ANN AVE,BAKERSFIELD,936-990-16,"MCMANN, ERIN; THE ERIN MCMANN LIVING TRUST,",12/04/2019,610000.0
ST GEORGE PROPERTY MANAGEMENT LLC,,16766 SIMS LN,11904 CLEGG DR,BAKERSFIELD,178-242-03,"THE AHMADI FAMILY TRUST, ; AHMADI, BEHROOZ",11/10/2025,2000000.0
CAPTURE HOLDINGS LLC,,414 MAIN ST STE 100,2100 HARWOOD ST,BAKERSFIELD,937-195-46,"C3 DLG 414 MAIN STREET LLC,",09/04/2025,2800000.0
GLENWOOD RIDGE HOLDINGS LLC,,15 CHATHAM CT # 49,PO BOX 785,BELLEVUE,939-630-94,"BURNS, BRAD; BURNS, BRENT",12/20/2023,2900000.0
CASSIE INVESTMENTS LLC,,12169 SYLVAN RIV UNIT 158,17025 RIPON AVE,BELLFLOWER,938-591-75,"QUON, JONATHAN; KOBER, SARAH",06/28/2012,165000.0
1 LUCANIA DRIVE LLC,,1 LUCANIA DR,60435 TEKAMPE RD,BEND,935-345-46,"GOLD, DANIELLE ILAYNA; SELLERS, EDWARD MCMEIN",09/05/2023,3450000.0
DIAMONDROCK HB OWNER LLC,,500 PACIFIC COAST HWY # H1,2 BETHESDA METRO CTR STE 1400,BETHESDA,937-195-40,"CRACCHIOLO, DOLORES L; CRACCHIOLO, SALVATOR W",03/04/2020,1576000.0
DIAMONDROCK HB OWNER LLC,,500 PACIFIC COAST HWY # H2,2 BETHESDA METRO CTR STE 1400,BETHESDA,937-195-41,"CRACCHIOLO, DOLORES L; CRACCHIOLO, SALVATOR W",03/04/2020,1576000.0
FILOBATEER PROPERTIES LLC,,16921 PARK AVE,8549 WILSHIRE BLVD # 1149,BEVERLY HILLS,178-532-43,"RILEY, VINCENT D; JI, LAN",09/04/2020,1175000.0
LOWENSTEIN 19101 HOLDINGS LLC,,19101 BROOKHURST ST,705 WALDEN DR,BEVERLY HILLS,153-201-24,"MCMULLEN, THOMAS; MCMULLEN, LAUREN COHEN",04/25/2025,158500.0
BIRCH INVESTMENT LLC,,20271 SW BIRCH ST,468 N CAMDEN DR STE 300,BEVERLY HILLS,930-685-08,"MONDAYONE LLC,",10/21/2016,2100000.0
4340 VON KARMAN AVENUE LLC,,4340 VON KARMAN AVE STE 203,511 N REXFORD DR,BEVERLY HILLS,934-057-15,"NOEMI PROPERTIES LLC,",02/04/2022,2026000.0
GRAHAM STREET PARTNERS LLC,,15662 GRAHAM ST,9990 S SANTA MONICA BLVD,BEVERLY HILLS,145-401-06,"ROXIE REAL ESTATE INVESTMENTS LLC,",08/30/2017,4863500.0
CALI GIRL LLC,,200 VILLA POINT DR,288 SHIRLEY RD,BIRMINGHAM,939-635-78,"THE HOLZ REVOCABLE TRUST, ; HOLZ, TIMOTHY J",03/27/2026,1600000.0
BRADLEY B LLC,,16712 CORAL CAY LN,9599 W FAIRVIEW AVE,BOISE,178-652-36,"ROSENBERG, RICHARD; VOIGT, SUSAN",08/10/2009,2400000.0
THE GIRL 1 LLC, THE GIRL 3 LLC,15441 BEACH BLVD,1775 W STATE ST # 349,BOISE,142-062-18,"MPM REAL ESTATE VENTURE LLC,",04/01/2025,672000.0
THE GIRL 1 LLC, THE GIRL 3 LLC,19301 BEACH BLVD,1775 W STATE ST # 349,BOISE,025-182-32,"MPM REAL ESTATE VENTURE LLC,",04/01/2025,573000.0
PROLOGIS-EXCHANGE 5701 SKYLAB ROAD LLC,,5701 SKYLAB RD,60 STATE ST STE 2200,BOSTON,195-111-35,"KONICA MINOLTA BUSINESS SOLUTIONS U S A,",09/22/2015,36750000.0
AMG GROUP LLC,,807 MUIRFIELD DR,3 WOODLYN LN,BRADBURY,931-790-44,"JALIU, LOAN CRISTEL; JALIU, GABRIELA",06/27/2018,900000.0
OLIVE GREEN HOLDINGS LLC,,5 WHITE PINE DR,809 N SUTTER CT,BREA,935-900-78,"BERK DEVELOPMENT LLC,",05/05/2022,4400000.0
CRI PROPERTIES LLC,,7052 HEIL AVE,2850 ORBITER ST,BREA,142-411-09,"R3 PROPERTIES 3 LP,",12/23/2016,1505000.0
CRI PROPERTIES LLC,,18311 PATTERSON LN,2850 ORBITER ST,BREA,157-352-04,"GHOUCHANI, MOHAMMAD GHARAVI; PASDAR, AFKAMOLSADAT HABIBI",12/23/2016,1650000.0
CRI PROPERTIES LLC,,18742 BEACH BLVD,2850 ORBITER ST,BREA,157-451-01,"SR ADVISOR LLC,",12/15/2016,2700000.0
15TH STREET HB LLC,,425 15TH ST,3150 E BIRCH ST,BREA,023-154-12,"MURRAY, JANE C; MURRAY FAMILY TRUST,",05/19/2022,2630000.0
WFS PROPERTIES LLC,,212 15TH ST,595 W LAMBERT RD STE 108,BREA,024-031-15,"MACFARLANE, JERRY; BROWN, TODD",07/16/2024,3850000.0
CRI PROPERTIES LLC,,18732 BEACH BLVD,2850 ORBITER ST,BREA,157-451-09,"SR ADVISOR LLC,",12/15/2016,2700000.0
STONEGATE PROPERTY LLC,,2900 BRISTOL ST # 54,879 SHADOWGROVE ST,BREA,939-570-66,"NGUYEN, JACQUELYNE M",06/30/2022,627500.0
ORANGE KANGAROO LLC,,6600 WARNER AVE UNIT 205,6561 BEACH BLVD,BUENA PARK,937-157-58,"ZELAYA, ROGER A",12/23/2003,369000.0
DISCOVERY PROPERTIES LLC,,17082 EMERALD LN,8468 NEPTUNE DR,BUENA PARK,111-371-15,"RS REAL ESTATE PLUS,",09/25/2025,1875000.0
HB GREEN WORLD LLC,,9861 YORKTOWN AVE,10091 BERNADETTE AVE,BUENA PARK,153-471-20,"HB PROPERTY MANAGEMENT INC,",03/25/2022,460000.0
RAI PARTNERS LLC,,20972 BROOKHURST ST,8541 EMERYWOOD DR,BUENA PARK,155-242-30,"HERMANSON FAMILY LC II LLLP, ; KENTNER, GEORGE D",09/19/2017,2800000.0
801BALBOA LLC,,208 5TH ST,912 E ELMWOOD AVE,BURBANK,024-147-30,"GALLEGOS, WILLIAM G; GALLEGOS, PHILOMENE P",04/01/2004,1850000.0
801BALBOA LLC,,210 5TH ST,912 E ELMWOOD AVE,BURBANK,024-147-05,"GALLEGOS, WILLIAM G; GALLEGOS, PHILOMENE P",04/01/2004,1850000.0
810 BAKER STREET LLC,,810 BAKER ST # 14,533 AIRPORT BLVD STE 400,BURLINGAME,937-681-84,"JOHNSON, GLEN; THE GLEN JOHNSON TRUST,",03/25/2022,715000.0
KRS WERKS LLC,,16854 BAYVIEW DR,13337 SOUTH ST # 15,CERRITOS,178-532-14,"NUCUM, THOMAS CRUZ",11/15/2024,2520000.0
AESTHETIC HOMES GROUP LLC,,100 SCHOLZ PLZ APT 205,13337 SOUTH ST # 472,CERRITOS,936-761-79,"SBR EMPIRE LLC,",07/21/2022,500000.0
KRS WERKS LLC,,7561 CENTER AVE # E1,13337 SOUTH ST # 683,CERRITOS,142-474-15,"THOMAS, FLORA; THE THOMAS 2020 TRUST,",08/23/2023,825000.0
L A LINK HB 106 LLC,,106 OLIVE AVE,13072 MOORE ST,CERRITOS,024-161-01,"PALLADINO, GINA MARIE; JOSEPH PALLADINO 1994 TRUST,",09/16/2022,2550000.0
OAK RIDGE LLC,,18020 MAGNOLIA ST,12919 MOORSHIRE DR,CERRITOS,157-132-58,"ROUN SOK INC,",05/18/2018,2800000.0
HB SURFACE LLC,,1901 CALIFORNIA ST,225 WILMINGTON W CHESTER PIKE,CHADDS FORD,025-086-08,"ELYSIUM WEST LLC,",03/12/2026,10000.0
HB SURFACE LLC,,1809 DELAWARE ST,225 WILMINGTON W CHESTER PIKE,CHADDS FORD,025-083-12,"ELYSIUM WEST LLC,",03/12/2026,10000.0
VERMEER & GOEDHART DAIRY LLC,,613 E BALBOA BLVD APT A,PO BOX 1957,CHINO,932-160-33,"ROGINA, RICHARD R; ROGINA, WENDY A",03/25/2016,1535000.0
ACQUAWOOD GROUP LLC,,17372 FORBES LN,2360 EAGLEWOOD DR,CHINO HILLS,163-062-25,"CHRISTOPHER T RODGERS & NOVELLA M RODGER, ; RODGERS, TIMOTHY M",11/03/2025,1365000.0
BOCK 2 BOCK PROPERTIES LLC,,20171 SEALPOINT LN UNIT 105,3488 CLIPPER DR,CHINO HILLS,936-176-68,"DICKEY JR, PERRY W; DICKEY, CYNTHIA A",12/29/2023,795000.0
TAR HONG EQUITY LLC,,16236 WAYFARER LN,780 NOGALES ST,CITY OF INDUSTRY,178-034-66,"TERGUSON, ROBERT; TERGUSON, IHANA",09/21/2015,2300000.0
HORIZONTE ADVANTAGE LLC,,1679 TOPANGA,18042 CORTNEY CT # A,CITY OF INDUSTRY,930-617-46,"PROFANT, ELISSA G; ELISSA G PROFANT REVOCABLE TRUST,",08/15/2022,1500000.0
KK ADVANTAGE LLC,,2171 ANDOVER LN,250 TURNBULL CANYON RD,CITY OF INDUSTRY,930-592-41,"EKEDAL, TABATHA SHANNON",06/06/2023,1995000.0
PACIFIC AVENUE SUNSET BEACH LLC,,16332 N PACIFIC AVE,PO BOX 1874,CLAREMONT,178-511-05,"COZMO LLC,",05/28/2015,1899000.0
PACIFIC AVENUE SUNSET BEACH LLC,,16328 N PACIFIC AVE,PO BOX 1874,CLAREMONT,178-511-07,"COZMO LLC,",05/28/2015,1899000.0
PACIFIC AVENUE SUNSET BEACH LLC,,16330 N PACIFIC AVE,PO BOX 1874,CLAREMONT,178-511-06,"COZMO LLC,",05/28/2015,1899000.0
CATHY INVESTMENT LLC,,16101 BOLSA CHICA ST # A,2058 N MILLS AVE # 351,CLAREMONT,178-071-20,"ASBURY PROPERTIES INC,",06/30/2017,10800000.0
SNP CENTERS LLC,,12890 WESTERN AVE,544 REDLANDS AVE,CLAREMONT,931-432-22,"FULTS, CHRISTOPHER L; FULTS, JEANNE M",05/06/2019,375000.0
RGDS HB LLC,,6221 TYNDALL DR,150 CARONDELET PLZ UNIT 1607,CLAYTON,145-323-26,"DONALD GEORGE & LORETTA JOYCE PALMIERI 2, ; BOSALET, PATTI",02/17/2026,1260000.0
JS CA REAL ESTATE LLC,,5581 RIDGEBURY DR,8025 MARYLAND AVE UNIT 6G,CLAYTON,163-183-15,"SCHINNERER, ALAN J; THE ALAN J SCHINNERER LIVING TRUST,",12/03/2018,859000.0
JS CA REAL ESTATE LLC,,5532 MARYPORT DR,8025 MARYLAND AVE UNIT 6G,CLAYTON,163-222-06,"NELSON, DENNIS WAYNE; NELSON, TERESA ETHELYN",12/21/2018,920500.0
J2 SIGNATURE HOUSING LLC,,403 AURA DR,4559 PELICANS POINT CV,COLLEGE STATION,932-073-05,"GAURAV AND ANCHAL JAIN REVOCABLE TRUST, ; JAIN, ANCHAL",04/17/2026,1436000.0
GARDEN RANCH LLC,,12888 WESTERN AVE,1166 REDFERN CT,CONCORD,931-432-21,"FULTS, CHRISTOPHER L; FULTS, JEANNE",06/12/2019,365000.0
SMB FINANCIAL LLC,,51 SURFSIDE AVE # B,391 N MAIN ST,CORONA,178-481-10,"JON H REGNIER 2003 TRUST, ; REGNIER, JON H",09/18/2025,1600000.0
SHEPHERD INVESTMENTS LLC,,6035 BROADSTONE CIR,8091 SOFT WINDS DR,CORONA,023-481-85,"ITURBIDE, ANDRE; ITURBIDE, CORINNA K",06/22/2017,860000.0
122 AND 124 HUNTINGTON LLC,,122 9TH ST,1351 BALDY VIEW CIR,CORONA,024-123-19,"SYNERGY HUNTINGTON LLC,",09/05/2023,4850000.0
122 AND 124 HUNTINGTON LLC,,124 9TH ST,1351 BALDY VIEW CIR,CORONA,024-123-16,"SYNERGY HUNTINGTON LLC,",09/05/2023,4850000.0
CHESTERFIELD LLC,,292 CHESTERFIELD # 161,PO BOX 2229,CORONA,931-806-01,"VALENTINE, MARK E; VALENTINE POSKA, KIMBERLY",04/03/2015,630000.0
REXCO-HAYWARD LLC,,5401 ARGOSY AVE # 102,2433 POMONA RD,CORONA,145-016-30,"50 CORPORATE PARK PARTNERS LLC,",12/30/2020,4900000.0
LAVENDER HOMES LLC,,17171 ROTTERDAM LN,PO BOX 1013,CORONA DEL MAR,167-344-15,"STONE, HOLLY",06/22/2023,965000.0
SAH VA ENTERPRISES LLC,,4682 WARNER AVE UNIT B103,514 IRIS AVE,CORONA DEL MAR,939-540-37,"SBR EMPIRE LLC,",03/13/2026,600000.0
DARIO PROPERTIES 3 LLC,,2990 LUMIERE DR,2215 WATERFRONT DR,CORONA DEL MAR,932-074-15,"LI, JEFFREY B; NGUYEN, LAUREN H",03/22/2021,1035000.0
KEAT INVESTMENTS LLC,,1676 GRAND VW,6 ROCKY POINT RD,CORONA DEL MAR,930-617-63,"KANE, KATHRYN ALYSSA; THE KATHRYN ALYSSA KANE REVOCABLE TRUST,",07/20/2022,1535000.0
SOUTH BEACH LLC,,166 VILLA POINT DR,14 WHITE WATER DR,CORONA DEL MAR,939-637-11,"ARABAJI, ANTOINE ELIAS; THE ARABAJI FAMILY REVOCABLE TRUST,",10/23/2020,595000.0
CPGP LLC,,221 10TH ST,2706 LIGHTHOUSE LN,CORONA DEL MAR,024-115-09,"KLEIN, DANA ELIZABETH; HONIG, CAROLYN MARGUERITE",03/21/2022,4751000.0
1425 CEDAR LONG BEACH LLC,,16592 JIB CIR,10 ROCKY POINT RD,CORONA DEL MAR,178-222-34,"KELLY, CAROL; THE C KELLY FAMILY TRUST,",01/02/2025,2428500.0
LC & R LLC,,5455 PRODUCTION DR # 2,1215 KEY W,CORONA DEL MAR,145-503-07,"RIVETT, RICHARD C",04/12/2011,2270000.0
LC & R LLC,,15821 GRAHAM ST,1215 KEY W,CORONA DEL MAR,145-503-08,"RIVETT, RICHARD C",04/12/2011,2270000.0
PACE RECOVERY CENTER LLC,,528 16TH ST,3197 AIRPORT LOOP DR STE B,COSTA MESA,023-148-33,"BAROT, DIPTI S",07/27/2017,1400000.0
LEHIGH HOLDING LLC,,8341 GARFIELD AVE,950 S COAST DR,COSTA MESA,157-411-02,"HO AND FRIENDS LLC,",09/12/2024,9000000.0
19821 TRIDENT LANE LLC,,8911 SKIFF CIR,3161 BERMUDA DR,COSTA MESA,153-223-24,"JARROTT JR, DENNIS EARL; JARROTT, JANETTE",02/07/2017,688000.0
9705PORTROYAL LLC,,9705 PORT ROYAL CIR,1187 GLENEAGLES TER,COSTA MESA,149-082-27,"EKBLOM, JONAS; EKBLOM, VERONICA BARRIO",08/01/2025,902000.0
WHITEY INVESTMENTS LLC,,3211 ANNE CIR # 102,283 ESTHER ST,COSTA MESA,936-290-88,"VAN HELDEN, JEANNE; VAN HELDEN, ROGER MAURICE",06/13/2023,880000.0
SID KEY PROPERTIES LLC,,711 PACIFIC COAST HWY UNIT 315,695 TOWN CENTER DR STE 230,COSTA MESA,939-504-56,"UPDATE REAL ESTATE LLC,",03/04/2024,1350000.0
HABIQO LLC,,21436 AVERY LN,637 CHANNEL WAY,COSTA MESA,939-484-61,"KNOBLOCK, KEVIN; KNOBLOCK, SHARON",02/17/2023,985000.0
15 LA PACIFIC LLC,,3359 VIA SIENNA,2041 SWAN DR,COSTA MESA,935-134-11,"HARMON, ALIE L M N",12/15/2016,582500.0
LUCY LEE HOLDINGS LLC,,380 W WILSON ST # 3,2345 NOTRE DAME RD,COSTA MESA,938-250-03,"RIEMER, JARED J; RIEMER, STEPHANIE L",04/20/2022,855000.0
HABIQO LLC,,1669 GRAND VW,637 CHANNEL WAY,COSTA MESA,930-617-81,"HANLY, CHRIS",08/29/2022,1435000.0
HABIQO LLC,,1646 POMONA AVE,637 CHANNEL WAY,COSTA MESA,930-618-68,"BLITHE, DEREK D",12/21/2021,1545000.0
BENTENG HOLDING LLC,,15 EBB TIDE CIR,15 EBB TIDE CIRCLE,COSTA MESA,939-832-06,"MAHONEY, GABRIEL; LIU, SHA",08/20/2025,1890000.0
PARAGON ENTERPRISES LLC,,102 SCHOLZ PLZ PH 32,225 MONTE VISTA AVE,COSTA MESA,936-762-40,"BIELLO, DANIEL ANTHONY",01/05/2022,1040000.0
ROBINHOOD INVESTMENTS LLC,,1228 RUTLAND RD APT 6,300 ROBINHOOD LN,COSTA MESA,934-180-18,"KARIGAN, DENA; NELSON, PAMELA",02/28/2025,815000.0
BLUE PACIFIC HOLDINGS LLC,,35 SILVER PINE DR,1927 HARBOR BLVD # 305,COSTA MESA,935-900-97,"LI, YUXUAN; FANG, XIAOLING",04/08/2024,4800000.0
CHL GROUP LLC,,7311 LA MANCHA CIR,PO BOX 3774,COSTA MESA,142-231-30,"DON G COLLINS SEPARATE PROPERTY TRUST, ; DREYFUS, RICHARD",10/24/2025,1750000.0
JJC GROUP LLC,,7340 CORSICAN DR,7340 CORSICAN DRIVE,COSTA MESA,142-231-25,"CHAPTER ONE HOLDINGS LLC,",07/01/2025,1708000.0
5TH STREET PARTNERS LLC,,17392 JACQUELYN LN # A,1635 OHMS WAY # A,COSTA MESA,165-241-07,"NGUYEN, VINCE; KREMP, ALLAN",09/30/2019,1200000.0
MANDEK 7 PROPERTY PARTNERS LLC,,17421 JACQUELYN LN,1635 OHMS WAY # A,COSTA MESA,165-241-17,"ANDERSON, DONNA; DONNA ANDERSON LIVING TRUST,",12/19/2018,1200000.0
MAHDEK 3 PROPERTY PARTNERS LLC,,17371 KEELSON LN,1635 OHMS WAY # A,COSTA MESA,165-233-20,"SCHAKEL, DAN; SCHAKEL, STEFANIE",01/28/2015,922000.0
MAHDEK 3 PROPERTIES PARTNERS LLC,,17411 KEELSON LN,1635 OHMS WAY # A,COSTA MESA,165-233-16,"ROMO, TORIBIO M",03/27/2015,895000.0
MAHDEK PROPERTY PARTNERS LLC,,2616 ENGLAND ST,1635 OHMS WAY # A,COSTA MESA,025-111-26,"PERRAUD, BRYAN; PERRAUD, STACY",05/16/2019,1425000.0
MANDEK PROPERTY PARTNERS LLC,,2612 ENGLAND ST,1635 OHMS WAY # A,COSTA MESA,025-111-25,"PERRAUD, BRYAN; PERRAUD, STACY",05/16/2019,1425000.0
MALAGA STREET PARTNERS LLC,,16191 MALAGA LN,1635 OHMS WAY # A,COSTA MESA,107-772-05,"PAINE, RONALD A",03/21/2014,1350000.0
LOS ALAMOS LLC,,17101 ASH LN,1100 DENNIS DR,COSTA MESA,165-362-17,"AYYOUB, EMAD H; AYYOUB, ENTESSAR",01/12/2016,2200000.0
SURF CITY ACQUISTIONS LLC,,201 16TH ST,1635 OHMS WAY # A,COSTA MESA,023-163-13,"HALBERT, BEN; JAMES E EICH TRUST,",06/28/2013,1650000.0
GEO FLO HOLDINGS LLC,,326 13TH ST,151 KALMUS DR STE H1,COSTA MESA,024-026-01,"KIM, SANG H; KIM, JULIE J",01/15/2019,2060000.0
ARES INVESTMENT GROUP LLC,,7755 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-17,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0
ARES INVESTMENT GROUP LLC,,7777 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-20,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0
BASRAON LLC,,19071 BROOKHURST ST,283 MESA DR,COSTA MESA,153-201-32,"DRESS COAT LLC, ; OLSON, LINDA MARIE",08/30/2016,2850000.0
BASRAON LLC,,19091 BROOKHURST ST,283 MESA DR,COSTA MESA,153-201-31,"DRESS COAT LLC, ; OLSON, LINDA MARIE",08/30/2016,2850000.0
303 PARTNERS LLC,,303 3RD ST,129 CABRILLO ST STE 202,COSTA MESA,024-144-12,"TRAINER, BEN ADAM; TRAINER, LAURIE RUTH",01/19/2016,6000000.0
WEST CONTINENTAL PROPERTIES LLC,,17671 BEACH BLVD,2791 MENDOZA DR,COSTA MESA,165-311-17,"CHEN, SHAN CHIN; CHEN, CHUN LEE",06/09/2005,900000.0
ARES INVESTMENT GROUP LLC,,7767 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-15,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0
ARES INVESTMENT GROUP LLC,,7711 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-16,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0
5TH & PCH LLC,,155 5TH ST # R1,1945 PLACENTIA AVE STE D,COSTA MESA,937-195-42,"CRACCHIOLO, RACHELLE; CRACCHIOLO, SALVATOR W",05/13/2021,1491500.0
5TH & PCH LLC,,180 5TH ST,1945 PLACENTIA AVE STE D,COSTA MESA,937-195-43,"CAPREF STRAND LLC,",10/29/2019,650000.0
NCO CONSULTING & INVESTMENT LLC,,3525 HYLAND AVE STE 255,3525 HYLAND AVE,COSTA MESA,932-632-73,"SHIELDSWARREN LLC,",04/25/2019,625000.0
ALCHEMY FACTORY LLC,,2900 BRISTOL ST # 39,2900 BRISTOL ST STE D201,COSTA MESA,939-570-79,"OP PROPERTIES I LLC,",03/04/2016,620000.0
NORTHCO HOLDINGS LLC,,2900 BRISTOL ST # 6,2900 BRISTOL ST STE B107,COSTA MESA,939-570-06,"DONAHUE, RHONDA; MALZO, RAYMOND",12/12/2025,449000.0
COMPETENT LLC,,2900 BRISTOL ST # 16A,2900 BRISTOL ST STE D107,COSTA MESA,939-570-18,"ESSEX WATERS AT CREEKSIDE LLC,",05/18/2005,524500.0
COMPETENT LLC,,2900 BRISTOL ST # 17,2900 BRISTOL ST STE D107,COSTA MESA,939-570-20,"ESSEX WATERS AT CREEKSIDE LLC,",05/18/2005,524500.0
CAL NEWPORT MESA LLC,,2900 BRISTOL ST # 23,2900 BRISTOL ST STE C107,COSTA MESA,939-570-27,"THE WATERS AT CREEKSIDE 1 LLC,",08/06/2004,740000.0
CAL NEWPORT MESA LLC,,2900 BRISTOL ST # 24A,2900 BRISTOL ST STE C107,COSTA MESA,939-570-28,"THE WATERS AT CREEKSIDE 1 LLC,",08/06/2004,740000.0
